BERT-Base Model,T&A Link,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
BioLinkBERT-base,vector-weighted-average-3070-hidden-states,0.9006188276064255,0.9092018077289463,0.8951662561576355,0.10483374384236452,0.9246528216355803,0.07534717836441972,0.9620560997750495,0.9389654058128853,0.9845528616775124,0.9376511998774509,0.8890404524440225,0.10873409533094153,0.028589088070645887,0.9827645554681353,0.017235444531864666,0.9759166037118179,0.024083396288182138,0.9662987348419093,0.9660774197871189,0.9661813106401225,0.9662987348419093,0.9442524012298399,0.9502847126736991,0.9389654058128853
BioLinkBERT-base,vector-weighted-average-4060-hidden-states,0.8997885919549002,0.9145140394717217,0.8907019704433498,0.10929802955665024,0.9423015601380451,0.05769843986195487,0.9611110891322622,0.9387616854577094,0.9844918888938413,0.9371036333838677,0.8968932722489388,0.10717479414104787,0.028074759223042582,0.9868214004720692,0.013178599527930754,0.9751528203451488,0.024847179654851156,0.9687712150620675,0.9683761621136971,0.9688926105373297,0.9687712150620675,0.947699648706659,0.958727190241597,0.9387616854577094
pubmedbert-base-embeddings,vector-weighted-average-4060-classification-token,0.8983219547571448,0.8983257597229573,0.8988608374384237,0.10113916256157635,0.9005563371440388,0.09944366285596125,0.9568529039799755,0.9377844050816562,0.9848148094766542,0.936220999103292,0.8761279979664757,0.1153660403553196,0.031489867089713616,0.9767079727248886,0.023292027275111454,0.9769298071819585,0.023070192818041485,0.9621598043771942,0.9620195006277887,0.9625303042753913,0.9621598043771942,0.9375323560277112,0.9387430721629986,0.9377844050816562
BioLinkBERT-base,vector-sum-hidden-states,0.8949692621414413,0.9028243626966018,0.8905480295566502,0.10945197044334977,0.9193879095441595,0.08061209045584046,0.9583731119833909,0.9356441301730274,0.9836318102996102,0.9341442248392419,0.8822177472597381,0.1103348408763436,0.02935325425114235,0.9807402307894046,0.01925976921059533,0.9750299691911395,0.02497003080886047,0.9638423083012687,0.963650813808865,0.964448039793742,0.9638423083012687,0.9402973348663102,0.9472089393676495,0.9356441301730274
BioLinkBERT-base,vector-average-hidden-states,0.8949692621414413,0.9028243626966018,0.8905480295566502,0.10945197044334977,0.9193879095441595,0.08061209045584046,0.9583731119833909,0.9356441301730274,0.9836318102996102,0.9341442248392419,0.8822177472597381,0.1103348408763436,0.02935325425114235,0.9807402307894046,0.01925976921059533,0.9750299691911395,0.02497003080886047,0.9638423083012687,0.963650813808865,0.964448039793742,0.9638423083012687,0.9402973348663102,0.9472089393676495,0.9356441301730274
BioLinkBERT-base,vector-concatenation-hidden-states,0.8903257398951947,0.9051698860126385,0.8814655172413793,0.11853448275862069,0.9345891203703705,0.06541087962962963,0.9696661006511565,0.9331394921638315,0.9890283104275108,0.931085206972093,0.8861917693697251,0.09738788378929886,0.0270954324604187,0.9848134670862838,0.01518653291371623,0.9732353978812955,0.026764602118704475,0.9654818125693405,0.9650471440965944,0.9659207265858774,0.9654818125693405,0.9420247251267783,0.9539122591258329,0.9331394921638315
pubmedbert-base-embeddings,vector-sum-classification-token,0.8886169034665565,0.887854204797487,0.8900862068965518,0.10991379310344829,0.8903687580801551,0.10963124191984487,0.9532656356840838,0.9318726995668177,0.9822055558570046,0.9300512019115242,0.8638794307248514,0.12095195352651186,0.032769362685355685,0.9736591922370836,0.02634080776291632,0.9749883567931368,0.02501164320686311,0.9580586409944483,0.9579776371986056,0.9590333602393197,0.9580586409944483,0.93101541006641,0.9326785574366461,0.9318726995668177
pubmedbert-base-embeddings,vector-average-classification-token,0.8886169034665565,0.887854204797487,0.8900862068965518,0.10991379310344829,0.8903687580801551,0.10963124191984487,0.9532656356840838,0.9318726995668177,0.9822055558570046,0.9300512019115242,0.8638794307248514,0.12095195352651186,0.032769362685355685,0.9736591922370836,0.02634080776291632,0.9749883567931368,0.02501164320686311,0.9580586409944483,0.9579776371986056,0.9590333602393197,0.9580586409944483,0.93101541006641,0.9326785574366461,0.9318726995668177
pubmedbert-base-embeddings,vector-weighted-average-3070-classification-token,0.8874884781907966,0.8843924308834707,0.8900862068965517,0.10991379310344829,0.8814059523006964,0.11859404769930354,0.954914325841517,0.9308728306971612,0.9846856775789075,0.9294525944621672,0.858562873884493,0.11704461237693137,0.03228312457300017,0.9716594544977708,0.028340545502229197,0.9747587662142396,0.025241233785760306,0.9564194214923102,0.9564702895919219,0.9571558344559172,0.9564194214923102,0.9287616894170281,0.9280823592574681,0.9308728306971612
BioLinkBERT-base,vector-weighted-average-2080-hidden-states,0.8863069300550883,0.8938331201280515,0.8817733990147784,0.11822660098522167,0.9083709931794609,0.09162900682053907,0.9589392028769781,0.9302405547394899,0.9840488395126086,0.9285380501918615,0.8705313370016703,0.11297759527870602,0.029994609441791314,0.9787077104642015,0.021292289535798578,0.9729271820103065,0.02707281798969345,0.9605367809375405,0.9603272939262282,0.9606982555542571,0.9605367809375405,0.9347895742438985,0.9406490875948837,0.9302405547394899
